rpm, Nm, lb-ft, kW, PS, hp,
1000, 63.6, 46.9, 6.7, 9.1, 8.9,
1100, 72.3, 53.3, 8.3, 11.3, 11.2,
1200, 79.5, 58.6, 10, 13.6, 13.4,
1300, 85.7, 63.2, 11.7, 15.9, 15.6,
1400, 90.9, 67, 13.3, 18.1, 17.9,
1500, 95.5, 70.4, 15, 20.4, 20.1,
1600, 99.4, 73.3, 16.7, 22.7, 22.3,
1700, 102.9, 75.9, 18.3, 24.9, 24.5,
1800, 106.1, 78.2, 20, 27.2, 26.8,
1900, 108.9, 80.3, 21.7, 29.5, 29,
2000, 111.4, 82.2, 23.3, 31.7, 31.3,
2100, 113.6, 83.8, 25, 34, 33.5,
2200, 115.7, 85.3, 26.7, 36.3, 35.7,
2300, 117.6, 86.7, 28.3, 38.5, 38,
2400, 119.3, 88, 30, 40.8, 40.2,
2500, 120.9, 89.2, 31.7, 43, 42.4,
2600, 122.4, 90.3, 33.3, 45.3, 44.7,
2700, 123.7, 91.2, 35, 47.6, 46.9,
2800, 125, 92.2, 36.7, 49.8, 49.1,
2900, 126.2, 93.1, 38.3, 52.1, 51.4,
3000, 127.3, 93.9, 40, 54.4, 53.6,
3100, 128.3, 94.6, 41.7, 56.6, 55.8,
3200, 129.3, 95.4, 43.3, 58.9, 58.1,
3300, 130.2, 96, 45, 61.2, 60.3,
3400, 131, 96.6, 46.6, 63.4, 62.5,
3500, 131.8, 97.2, 48.3, 65.7, 64.7,
3600, 132.6, 97.8, 50, 68, 67,
3700, 133.3, 98.3, 51.7, 70.2, 69.2,
3800, 134, 98.8, 53.3, 72.5, 71.5,
3900, 134.6, 99.3, 55, 74.8, 73.7,
4000, 135.2, 99.7, 56.6, 77, 75.9,
4100, 135.8, 100.1, 58.3, 79.3, 78.1,
4200, 136.4, 100.6, 60, 81.6, 80.4,
4300, 136.9, 101, 61.6, 83.8, 82.6,
4400, 137.4, 101.3, 63.3, 86.1, 84.8,
4500, 137.9, 101.7, 65, 88.4, 87.1,
4600, 138.3, 102, 66.6, 90.6, 89.3,
4700, 138.8, 102.4, 68.3, 92.9, 91.5,
4800, 139.2, 102.7, 70, 95.2, 93.8,
4900, 139.6, 102.9, 71.6, 97.4, 96,
5000, 140, 103.2, 73.3, 99.7, 98.2,
5100, 140, 103.2, 74.8, 101.7, 100.2,
5200, 139.8, 103.1, 76.1, 103.5, 102,
5300, 139.6, 102.9, 77.5, 105.4, 103.8,
5400, 139.3, 102.7, 78.8, 107.1, 105.6,
5500, 138.9, 102.4, 80, 108.8, 107.2,
5600, 138.4, 102.1, 81.2, 110.4, 108.8,
5700, 137.8, 101.6, 82.3, 111.9, 110.2,
5800, 137.2, 101.2, 83.3, 113.3, 111.7,
5900, 136.4, 100.6, 84.3, 114.6, 112.9,
6000, 135.6, 100, 85.2, 115.9, 114.2,
6100, 134.7, 99.3, 86, 117, 115.3,
6200, 133.7, 98.6, 86.8, 118.1, 116.3,
6300, 132.6, 97.8, 87.5, 119, 117.2,
6400, 131.4, 96.9, 88.1, 119.8, 118,
6500, 130.1, 95.9, 88.6, 120.4, 118.7,
6600, 128.8, 95, 89, 121, 119.3,
6700, 126.3, 93.1, 88.6, 120.5, 118.7,
6800, 123, 90.7, 87.6, 119.1, 117.4,
6900, 118.7, 87.5, 85.8, 116.6, 114.9,
7000, 113.6, 83.8, 83.3, 113.3, 111.6,
7100, 107.7, 79.4, 80.1, 108.9, 107.3,
